open_time,direction,entry_price,sl_price,tp_price,atr,probability
2011.05.30 02:35,1,1535.89300,1535.50529,1536.86229,0.38771,0.53725
2011.05.30 13:05,1,1536.98200,1536.36093,1538.53468,0.62107,0.52872
2011.05.31 02:05,1,1538.98200,1538.49200,1540.20700,0.49000,0.50304
2011.05.31 04:50,1,1537.11000,1536.62836,1538.31411,0.48164,0.59619
2011.05.31 06:20,1,1536.19100,1535.70621,1537.40296,0.48479,0.58106
2011.06.01 02:50,-1,1530.14300,1530.62229,1528.94479,0.47929,0.52925
2011.06.01 20:20,1,1539.28700,1537.50264,1543.74789,1.78436,0.54597
2011.06.01 22:35,1,1540.32200,1539.86364,1541.46789,0.45836,0.55415
2011.06.02 02:20,1,1538.67200,1538.12071,1540.05021,0.55129,0.52335
2011.06.02 14:05,-1,1536.78800,1538.54021,1532.40746,1.75221,0.56033
2011.06.02 16:05,1,1526.71300,1523.99557,1533.50657,2.71743,0.53758
2011.06.02 19:50,1,1534.02400,1533.29950,1535.83525,0.72450,0.52567
2011.06.06 13:10,1,1544.26500,1542.92000,1547.62750,1.34500,0.64262
2011.06.06 14:55,1,1551.41000,1549.90664,1555.16839,1.50336,0.57440
2011.06.07 02:45,1,1544.20100,1543.70707,1545.43582,0.49393,0.53604
2011.06.09 14:45,1,1538.48900,1537.24779,1541.59204,1.24121,0.50395
2011.06.10 02:35,1,1543.27300,1542.95236,1544.07461,0.32064,0.50110
2011.06.16 08:40,-1,1525.62300,1526.21957,1524.13157,0.59657,0.50947
2011.06.17 09:45,1,1525.09200,1524.40700,1526.80450,0.68500,0.53187
2011.06.21 16:35,1,1544.47000,1543.12471,1547.83321,1.34529,0.51525
2011.06.21 19:20,1,1546.45300,1545.85000,1547.96050,0.60300,0.51159
2011.06.22 02:40,1,1546.86000,1546.56307,1547.60232,0.29693,0.50839
2011.06.22 08:40,-1,1546.87200,1547.27971,1545.85271,0.40771,0.50577
2011.06.22 14:25,1,1556.91900,1555.23021,1561.14096,1.68879,0.65720
2011.06.22 15:55,1,1554.56700,1553.59879,1556.98754,0.96821,0.56131
2011.06.23 08:55,-1,1543.62000,1544.31314,1541.88714,0.69314,0.58519
2011.06.23 13:10,-1,1525.14200,1527.91207,1518.21682,2.77007,0.58621
2011.06.23 14:40,-1,1516.80600,1519.68436,1509.61011,2.87836,0.62784
2011.06.24 13:10,-1,1517.78300,1519.69364,1513.00639,1.91064,0.54676
2011.06.27 04:20,-1,1503.95600,1504.73429,1502.01029,0.77829,0.58984
2011.06.27 05:50,-1,1500.62200,1501.51657,1498.38557,0.89457,0.64388
2011.06.27 07:50,-1,1494.09000,1495.32986,1490.99036,1.23986,0.63785
2011.06.29 04:25,1,1504.50400,1504.13421,1505.42846,0.36979,0.53422
2011.06.29 06:25,1,1505.15900,1504.72186,1506.25186,0.43714,0.52604
2011.06.29 07:55,1,1507.16700,1506.41136,1509.05611,0.75564,0.51577
2011.06.29 13:25,1,1506.62200,1505.13936,1510.32861,1.48264,0.52424
2011.06.29 14:55,1,1507.15200,1505.80971,1510.50771,1.34229,0.54793
2011.06.30 04:25,-1,1513.49800,1513.90293,1512.48568,0.40493,0.51004
2011.06.30 05:55,-1,1510.47300,1510.92650,1509.33925,0.45350,0.52895
2011.07.01 04:55,-1,1499.51400,1499.99414,1498.31364,0.48014,0.59246
2011.07.01 06:55,-1,1499.85000,1500.51714,1498.18214,0.66714,0.61425
2011.07.01 09:25,-1,1490.63700,1491.68771,1488.01021,1.05071,0.62888
2011.07.01 10:55,-1,1490.54600,1491.74236,1487.55511,1.19636,0.55152
2011.07.05 02:55,1,1497.34000,1496.87836,1498.49411,0.46164,0.55267
2011.07.05 09:25,1,1498.38700,1497.68793,1500.13468,0.69907,0.63069
2011.07.05 11:40,1,1502.48000,1501.64636,1504.56411,0.83364,0.61836
2011.07.06 05:55,1,1515.43800,1514.93079,1516.70604,0.50721,0.59042
2011.07.06 07:40,1,1517.04600,1516.17000,1519.23600,0.87600,0.54547
2011.07.06 09:40,-1,1516.35800,1517.05007,1514.62782,0.69207,0.54875
2011.07.06 11:40,-1,1511.69000,1512.78543,1508.95143,1.09543,0.50324
2011.07.06 14:55,1,1529.70400,1528.13671,1533.62221,1.56729,0.50203
2011.07.08 14:10,1,1541.77100,1540.50050,1544.94725,1.27050,0.60204
2011.07.08 15:40,1,1543.50800,1542.15029,1546.90229,1.35771,0.57026
2011.07.11 04:25,1,1545.22800,1544.92343,1545.98943,0.30457,0.57512
2011.07.11 06:40,1,1546.26900,1545.84321,1547.33346,0.42579,0.58395
2011.07.11 08:25,1,1545.03200,1544.48979,1546.38754,0.54221,0.60070
2011.07.11 09:55,1,1543.57400,1542.91336,1545.22561,0.66064,0.61083
2011.07.11 16:10,1,1547.15600,1545.65843,1550.89993,1.49757,0.54604
2011.07.11 17:40,1,1548.59700,1547.55757,1551.19557,1.03943,0.50580
2011.07.12 16:10,1,1553.37700,1552.18250,1556.36325,1.19450,0.52650
2011.07.12 17:40,1,1562.74100,1561.14493,1566.73118,1.59607,0.57087
2011.07.12 19:10,1,1570.75100,1568.80421,1575.61796,1.94679,0.60341
2011.07.13 02:25,1,1566.26300,1565.72693,1567.60318,0.53607,0.52421
2011.07.13 04:55,1,1565.16200,1564.76600,1566.15200,0.39600,0.53930
2011.07.13 14:25,1,1585.02600,1582.65150,1590.96225,2.37450,0.53339
2011.07.13 20:25,1,1580.73700,1579.72964,1583.25539,1.00736,0.58290
2011.07.13 22:40,1,1582.80100,1581.94757,1584.93457,0.85343,0.60967
2011.07.15 02:40,1,1583.56300,1582.99357,1584.98657,0.56943,0.51390
2011.07.18 02:10,1,1592.61600,1591.91179,1594.37654,0.70421,0.52529
2011.07.18 09:25,1,1598.42200,1597.50100,1600.72450,0.92100,0.61898
2011.07.19 01:25,1,1601.36100,1600.80171,1602.75921,0.55929,0.51407
2011.07.19 04:10,1,1603.24400,1602.82564,1604.28989,0.41836,0.58722
2011.07.19 06:25,1,1605.12300,1604.45893,1606.78318,0.66407,0.62623
2011.07.19 07:55,1,1607.83900,1606.74207,1610.58132,1.09693,0.53645
2011.07.22 08:25,1,1588.42300,1587.35693,1591.08818,1.06607,0.52423
2011.07.22 10:10,1,1589.68000,1588.92714,1591.56214,0.75286,0.51613
2011.07.24 21:10,1,1598.69700,1598.03357,1600.35557,0.66343,0.56959
2011.07.24 22:55,1,1612.31500,1608.92857,1620.78107,3.38643,0.52746
2011.07.25 02:25,1,1612.18800,1611.33443,1614.32193,0.85357,0.51771
2011.07.26 02:55,1,1614.88700,1614.08964,1616.88039,0.79736,0.53456
2011.07.27 02:25,1,1622.00500,1621.52007,1623.21732,0.48493,0.58961
2011.07.27 14:40,1,1616.06300,1614.31914,1620.42264,1.74386,0.51881
2011.07.29 14:40,1,1622.57300,1620.34564,1628.14139,2.22736,0.50500
2011.08.01 02:55,1,1615.09600,1614.45793,1616.69118,0.63807,0.50885
2011.08.02 08:10,1,1626.89800,1625.71093,1629.86568,1.18707,0.55454
2011.08.02 09:40,1,1625.90300,1625.13121,1627.83246,0.77179,0.67206
2011.08.02 11:10,1,1627.53200,1626.78164,1629.40789,0.75036,0.60430
2011.08.02 13:40,1,1635.48800,1633.62836,1640.13711,1.85964,0.60403
2011.08.02 17:10,1,1640.62100,1638.60429,1645.66279,2.01671,0.55246
2011.08.02 18:55,1,1646.78700,1646.01757,1648.71057,0.76943,0.54714
2011.08.03 04:55,1,1658.16900,1657.53907,1659.74382,0.62993,0.58953
2011.08.04 09:10,1,1664.52300,1663.30857,1667.55907,1.21443,0.55092
2011.08.04 10:40,1,1663.42000,1661.84721,1667.35196,1.57279,0.54283
2011.08.05 16:55,1,1656.13300,1651.72850,1667.14425,4.40450,0.50935
2011.08.07 22:55,1,1687.27800,1683.81014,1695.94764,3.46786,0.52887
2011.08.08 04:40,1,1701.47200,1699.68171,1705.94771,1.79029,0.54741
2011.08.08 06:40,1,1709.27400,1706.83264,1715.37739,2.44136,0.57426
2011.08.08 18:55,1,1710.66000,1707.70457,1718.04857,2.95543,0.53122
2011.08.08 21:30,1,1716.36500,1715.62036,1718.22661,0.74464,0.51451
2011.08.09 01:05,1,1727.13900,1725.66536,1730.82311,1.47364,0.58840
2011.08.09 02:50,1,1764.28200,1761.52507,1771.17432,2.75693,0.57542
2011.08.09 20:35,1,1737.81300,1731.80679,1752.82854,6.00621,0.54721
2011.08.09 22:20,1,1744.80500,1743.94979,1746.94304,0.85521,0.55614
2011.08.10 13:20,1,1775.83200,1771.87207,1785.73182,3.95993,0.56115
2011.08.10 14:50,1,1775.54800,1772.05900,1784.27050,3.48900,0.50637
2011.08.15 20:10,1,1761.44500,1759.91057,1765.28107,1.53443,0.51848
2011.08.16 04:40,1,1764.29400,1763.62800,1765.95900,0.66600,0.59354
2011.08.16 06:40,1,1768.00500,1767.09321,1770.28446,0.91179,0.60336
2011.08.16 09:25,1,1779.07500,1777.45343,1783.12893,1.62157,0.54560
2011.08.16 10:55,1,1775.92200,1773.90300,1780.96950,2.01900,0.60364
2011.08.17 04:00,1,1785.18600,1784.49286,1786.91886,0.69314,0.63606
2011.08.17 05:30,1,1786.15200,1785.38771,1788.06271,0.76429,0.56785
2011.08.17 07:30,1,1787.73600,1786.02721,1792.00796,1.70879,0.52897
2011.08.17 17:00,1,1786.39800,1784.58007,1790.94282,1.81793,0.57265
2011.08.17 19:45,1,1790.96600,1789.91400,1793.59600,1.05200,0.57020
2011.08.18 04:50,1,1790.76700,1790.13100,1792.35700,0.63600,0.60997
2011.08.18 06:35,1,1793.02800,1792.13014,1795.27264,0.89786,0.54487
2011.08.18 09:05,1,1794.27500,1793.27679,1796.77054,0.99821,0.65132
2011.08.18 11:20,1,1807.16600,1805.26950,1811.90725,1.89650,0.52080
2011.08.19 01:55,1,1833.50000,1832.15207,1836.86982,1.34793,0.53967
2011.08.19 04:25,1,1841.87000,1840.44464,1845.43339,1.42536,0.62022
2011.08.19 06:55,1,1851.96000,1850.04043,1856.75893,1.91957,0.57204
2011.08.22 04:00,1,1872.66300,1870.64414,1877.71014,2.01886,0.65387
2011.08.22 06:00,1,1881.19300,1879.39836,1885.67961,1.79464,0.60492
2011.08.22 07:45,1,1885.41300,1882.33557,1893.10657,3.07743,0.55684
2011.08.22 13:00,1,1865.87200,1862.68093,1873.84968,3.19107,0.52170
2011.08.22 17:00,1,1887.01800,1883.73657,1895.22157,3.28143,0.57196
2011.08.22 19:15,1,1889.78900,1888.47200,1893.08150,1.31700,0.54834
2011.08.22 21:00,1,1897.09900,1895.50064,1901.09489,1.59836,0.51042
2011.08.24 13:00,-1,1834.56200,1837.74871,1826.59521,3.18671,0.57662
2011.08.24 14:45,-1,1783.47900,1791.96229,1762.27079,8.48329,0.56245
2011.08.24 16:30,-1,1767.83400,1771.83721,1757.82596,4.00321,0.52150
2011.08.25 04:20,-1,1751.32900,1753.58936,1745.67811,2.26036,0.50638
2011.08.25 08:05,-1,1740.10900,1743.23114,1732.30364,3.12214,0.57881
2011.08.25 09:35,-1,1712.07100,1717.39707,1698.75582,5.32607,0.54904
2011.08.25 11:50,-1,1732.06200,1735.51600,1723.42700,3.45400,0.52401
2011.08.26 16:05,1,1782.84000,1778.32886,1794.11786,4.51114,0.61062
2011.08.26 17:35,1,1796.88500,1794.05686,1803.95536,2.82814,0.56054
2011.08.26 19:05,1,1811.77700,1809.00500,1818.70700,2.77200,0.60324
2011.08.26 20:50,1,1827.90300,1825.55536,1833.77211,2.34764,0.51767
2011.08.29 01:35,1,1813.03400,1809.90507,1820.85632,3.12893,0.50248
2011.08.30 17:20,1,1826.51500,1823.84957,1833.17857,2.66543,0.66407
2011.08.30 19:35,1,1839.21900,1837.07957,1844.56757,2.13943,0.63340
2011.08.31 02:55,1,1833.64000,1832.54221,1836.38446,1.09779,0.53317
2011.08.31 07:40,1,1824.73300,1823.06157,1828.91157,1.67143,0.50289
2011.09.02 05:05,1,1828.82200,1828.12079,1830.57504,0.70121,0.65346
2011.09.02 06:35,1,1834.75700,1833.66950,1837.47575,1.08750,0.60233
2011.09.02 09:05,1,1853.91700,1852.06357,1858.55057,1.85343,0.52863
2011.09.02 11:05,1,1854.23400,1852.75771,1857.92471,1.47629,0.52860
2011.09.02 14:05,1,1876.50200,1873.32293,1884.44968,3.17907,0.56584
2011.09.02 15:35,1,1874.24900,1872.38114,1878.91864,1.86786,0.52552
2011.09.02 17:50,1,1876.24800,1874.68893,1880.14568,1.55907,0.61339
2011.09.02 19:35,1,1880.94700,1879.13450,1885.47825,1.81250,0.59503
2011.09.04 21:05,1,1883.22100,1882.59136,1884.79511,0.62964,0.57713
2011.09.04 22:50,1,1878.41900,1876.28436,1883.75561,2.13464,0.53489
2011.09.05 04:05,1,1878.34700,1877.10529,1881.45129,1.24171,0.66302
2011.09.05 06:20,1,1878.73800,1877.19264,1882.60139,1.54536,0.66985
2011.09.05 13:05,1,1886.76600,1885.24043,1890.57993,1.52557,0.52871
2011.09.05 15:50,1,1899.82000,1898.21614,1903.82964,1.60386,0.50201
2011.09.06 02:25,1,1899.87200,1898.93850,1902.20575,0.93350,0.72209
2011.09.07 07:55,-1,1843.47200,1847.64386,1833.04236,4.17186,0.54176
2011.09.07 13:10,-1,1816.64900,1821.18564,1805.30739,4.53664,0.55651
2011.09.07 14:55,-1,1805.84400,1811.98229,1790.49829,6.13829,0.56831
2011.09.09 04:00,1,1860.89100,1859.93814,1863.27314,0.95286,0.67294
2011.09.09 05:30,1,1870.15300,1868.54643,1874.16943,1.60657,0.51432
2011.09.09 07:00,1,1876.96500,1874.29764,1883.63339,2.66736,0.60276
2011.09.09 14:00,1,1854.34000,1848.10457,1869.92857,6.23543,0.52384
2011.09.12 02:15,1,1849.42600,1847.95086,1853.11386,1.47514,0.51598
2011.09.12 13:15,-1,1835.43800,1839.79629,1824.54229,4.35829,0.61674
2011.09.12 15:00,-1,1833.41000,1837.30321,1823.67696,3.89321,0.50727
2011.09.15 08:15,-1,1814.28200,1817.04021,1807.38646,2.75821,0.61866
2011.09.15 09:45,-1,1809.75200,1811.68236,1804.92611,1.93036,0.55391
2011.09.15 13:45,-1,1786.93000,1792.93157,1771.92607,6.00157,0.51010
2011.09.18 21:00,1,1810.86700,1809.27243,1814.85343,1.59457,0.55035
2011.09.18 22:45,1,1818.25400,1816.39521,1822.90096,1.85879,0.50908
2011.09.21 02:35,1,1801.08400,1799.91057,1804.01757,1.17343,0.57618
2011.09.22 04:00,-1,1778.71000,1780.17314,1775.05214,1.46314,0.54942
2011.09.22 06:00,-1,1773.64700,1775.42614,1769.19914,1.77914,0.58792
2011.09.22 08:00,-1,1772.57500,1775.10414,1766.25214,2.52914,0.60699
2011.09.22 09:45,-1,1766.30700,1769.37764,1758.63039,3.07064,0.58906
2011.09.23 08:50,-1,1733.20300,1736.96871,1723.78871,3.76571,0.57834
2011.09.23 13:05,-1,1693.18800,1698.92864,1678.83639,5.74064,0.50070
2011.09.26 04:05,-1,1619.81300,1622.45700,1613.20300,2.64400,0.56811
2011.09.26 07:35,-1,1587.04600,1597.28000,1561.46100,10.23400,0.57538
2011.10.03 04:00,1,1630.10800,1628.15657,1634.98657,1.95143,0.59983
2011.10.03 05:30,1,1633.89700,1632.36129,1637.73629,1.53571,0.65121
2011.10.03 07:45,1,1650.46100,1647.02564,1659.04939,3.43536,0.53242
2011.10.03 11:15,1,1658.01600,1655.89943,1663.30743,2.11657,0.55793
2011.10.03 20:00,1,1654.01600,1651.41264,1660.52439,2.60336,0.63085
2011.10.03 22:55,1,1659.92400,1658.34629,1663.86829,1.57771,0.57347
2011.10.04 13:55,-1,1639.45600,1642.92571,1630.78171,3.46971,0.50998
2011.10.07 01:05,1,1653.12700,1652.08850,1655.72325,1.03850,0.53257
2011.10.10 14:15,1,1666.13900,1663.52664,1672.66989,2.61236,0.55097
2011.10.10 15:45,1,1674.67800,1672.35721,1680.47996,2.32079,0.52331
2011.10.10 17:30,1,1672.21800,1670.50821,1676.49246,1.70979,0.51130
2011.10.14 04:15,1,1666.16100,1665.46393,1667.90368,0.69707,0.58778
2011.10.14 06:45,1,1672.16800,1670.61400,1676.05300,1.55400,0.56183
2011.10.14 16:15,1,1673.35400,1671.64686,1677.62186,1.70714,0.52800
2011.10.14 19:00,1,1680.05400,1678.96379,1682.77954,1.09021,0.52313
2011.10.17 05:20,1,1680.80200,1679.94221,1682.95146,0.85979,0.65014
2011.10.17 06:50,1,1681.00700,1679.88771,1683.80521,1.11929,0.62132
2011.10.18 04:35,-1,1671.24600,1672.13857,1669.01457,0.89257,0.56835
2011.10.18 08:50,-1,1659.57700,1661.53821,1654.67396,1.96121,0.57758
2011.10.18 10:35,-1,1658.30300,1659.45479,1655.42354,1.15179,0.61521
2011.10.20 02:55,-1,1622.38300,1623.80007,1618.84032,1.41707,0.53989
2011.10.24 05:20,1,1647.53600,1646.54393,1650.01618,0.99207,0.53689
2011.10.24 08:20,-1,1650.23100,1651.86443,1646.14743,1.63343,0.52186
2011.10.25 01:15,1,1650.99400,1649.37279,1655.04704,1.62121,0.53296
2011.10.25 02:45,1,1655.93700,1654.62986,1659.20486,1.30714,0.54891
2011.10.25 14:00,1,1667.74100,1664.88736,1674.87511,2.85364,0.68355
2011.10.25 15:30,1,1692.89400,1690.04921,1700.00596,2.84479,0.50826
2011.10.26 01:25,1,1709.95500,1707.80100,1715.34000,2.15400,0.64778
2011.10.26 02:55,1,1711.34800,1710.26900,1714.04550,1.07900,0.65527
2011.10.26 15:55,1,1718.90900,1715.86886,1726.50936,3.04014,0.52843
2011.10.27 13:05,1,1725.75400,1722.59964,1733.63989,3.15436,0.64733
2011.10.27 14:35,1,1727.72700,1723.85521,1737.40646,3.87179,0.60232
2011.10.27 17:20,1,1745.79900,1743.44486,1751.68436,2.35414,0.53117
2011.10.27 19:35,1,1741.70400,1739.73957,1746.61507,1.96443,0.57945
2011.10.28 06:15,1,1739.29400,1737.67614,1743.33864,1.61786,0.53481
2011.10.28 16:45,1,1741.95700,1739.74450,1747.48825,2.21250,0.58505
2011.10.28 19:30,1,1743.54000,1742.25543,1746.75143,1.28457,0.57604
2011.10.31 01:25,-1,1731.94300,1733.27800,1728.60550,1.33500,0.54219
2011.11.01 09:20,-1,1708.78300,1710.63079,1704.16354,1.84779,0.59202
2011.11.01 11:50,-1,1688.22600,1689.75350,1684.40725,1.52750,0.58254
2011.11.02 05:00,1,1722.89300,1721.79000,1725.65050,1.10300,0.53594
