fold,deals_file,signals_file,match_rate_pct,matched_trades,total_trades,baseline_final,baseline_net_pct,baseline_worst_dd_pct,baseline_active_trades,baseline_wr_pct,rating_final,rating_net_pct,rating_worst_dd_pct,rating_active_trades,rating_skipped_trades,rating_wr_pct,delta_final,delta_dd_pct
133,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_133_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_133_signals.csv,100.0,36,36,4215.93,251.33,-5.96,36,63.89,2233.58,86.13,-5.76,19,17,68.42,-1982.35,0.2
134,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_134_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_134_signals.csv,100.0,33,33,2760.71,130.06,-11.31,33,54.55,1581.26,31.77,-8.38,14,19,50.0,-1179.45,2.93
135,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_135_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_135_signals.csv,100.0,33,33,2244.37,87.03,-13.98,33,48.48,1562.33,30.19,-6.55,18,15,50.0,-682.04,7.43
136,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_136_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_136_signals.csv,100.0,47,47,7613.76,534.48,-8.74,47,68.09,3502.08,191.84,-6.4,21,26,80.95,-4111.68,2.34
137,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_137_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_137_signals.csv,100.0,44,44,3305.21,175.43,-8.64,44,52.27,2026.15,68.85,-4.18,27,17,55.56,-1279.06,4.46
138,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_138_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_138_signals.csv,100.0,54,54,5023.08,318.59,-16.55,54,55.56,2965.43,147.12,-6.04,33,21,60.61,-2057.65,10.51
139,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_139_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_139_signals.csv,100.0,45,45,2587.09,115.59,-14.88,45,46.67,1858.49,54.87,-7.45,28,17,50.0,-728.6,7.43
140,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_140_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_140_signals.csv,100.0,59,59,3848.54,220.71,-19.07,59,50.85,2282.82,90.24,-11.96,43,16,51.16,-1565.72,7.11
141,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_141_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_141_signals.csv,100.0,36,36,4209.41,250.78,-8.79,36,63.89,2325.18,93.76,-6.17,21,15,66.67,-1884.23,2.62
142,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_142_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_142_signals.csv,100.0,43,43,3032.58,152.72,-11.4,43,51.16,2248.14,87.35,-5.11,23,20,65.22,-784.44,6.29
143,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_143_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_143_signals.csv,100.0,37,37,2716.92,126.41,-8.77,37,51.35,1693.88,41.16,-10.95,26,11,46.15,-1023.04,-2.18
144,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_144_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_144_signals.csv,100.0,52,52,7185.29,498.77,-5.99,52,63.46,3452.68,187.72,-6.82,29,23,68.97,-3732.61,-0.83
145,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_145_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_145_signals.csv,100.0,35,35,2549.31,112.44,-15.47,35,51.43,1637.13,36.43,-9.63,21,14,52.38,-912.18,5.84
146,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_146_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_146_signals.csv,100.0,44,44,3695.78,207.98,-16.71,44,54.55,2238.13,86.51,-11.27,26,18,57.69,-1457.65,5.44
147,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_147_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_147_signals.csv,100.0,39,39,1879.7,56.64,-16.46,39,41.03,1547.52,28.96,-8.51,21,18,47.62,-332.18,7.95
148,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_148_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_148_signals.csv,100.0,38,38,1926.58,60.55,-15.35,38,42.11,1679.63,39.97,-8.6,21,17,52.38,-246.95,6.75
149,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_149_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_149_signals.csv,100.0,42,42,2272.46,89.37,-20.3,42,45.24,1543.33,28.61,-8.04,18,24,50.0,-729.13,12.26
150,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_150_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_150_signals.csv,100.0,50,50,3635.02,202.92,-12.42,50,52.0,2157.84,79.82,-5.21,23,27,65.22,-1477.18,7.21
151,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_151_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_151_signals.csv,100.0,39,39,2904.81,142.07,-14.54,39,51.28,1975.19,64.6,-4.83,19,20,63.16,-929.62,9.71
152,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_152_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_152_signals.csv,100.0,38,38,2400.43,100.04,-21.68,38,47.37,1799.34,49.94,-11.08,23,15,56.52,-601.09,10.6
153,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_153_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_153_signals.csv,100.0,23,23,2226.37,85.53,-8.71,23,56.52,1626.2,35.52,-4.01,10,13,70.0,-600.17,4.7
154,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_154_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_154_signals.csv,100.0,29,29,2284.5,90.37,-11.42,29,51.72,1606.73,33.89,-4.19,12,17,66.67,-677.77,7.23
155,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_155_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_155_signals.csv,100.0,34,34,1838.72,53.23,-16.3,34,41.18,1451.84,20.99,-9.09,19,15,42.11,-386.88,7.21
156,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_156_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_156_signals.csv,100.0,43,43,2193.6,82.8,-11.5,43,44.19,1582.03,31.84,-7.38,27,16,44.44,-611.57,4.12
157,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_157_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_157_signals.csv,100.0,26,26,3057.66,154.81,-5.93,26,65.38,1724.62,43.72,-3.71,11,15,72.73,-1333.04,2.22
158,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_158_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_158_signals.csv,100.0,46,46,4726.69,293.89,-10.38,46,60.87,2211.68,84.31,-6.07,17,29,70.59,-2515.01,4.31
159,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_159_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_159_signals.csv,100.0,33,33,2509.65,109.14,-15.68,33,51.52,1732.91,44.41,-6.28,19,14,57.89,-776.74,9.4
160,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_160_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_160_signals.csv,100.0,40,40,2729.29,127.44,-20.65,40,50.0,1839.36,53.28,-18.16,20,20,55.0,-889.93,2.49
161,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_161_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_161_signals.csv,100.0,43,43,5083.15,323.6,-13.9,43,62.79,2379.64,98.3,-6.36,23,20,60.87,-2703.51,7.54
162,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_162_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_162_signals.csv,100.0,45,45,3214.4,167.87,-15.47,45,51.11,1961.21,63.43,-6.18,25,20,52.0,-1253.19,9.29
163,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_163_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_163_signals.csv,100.0,46,46,3472.44,189.37,-12.25,46,52.17,2016.79,68.07,-6.44,24,22,54.17,-1455.65,5.81
164,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_164_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_164_signals.csv,100.0,56,56,4130.1,244.17,-29.89,56,57.14,1615.87,34.66,-35.94,38,18,47.37,-2514.23,-6.05
165,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_165_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_165_signals.csv,100.0,49,49,10781.94,798.5,-11.01,49,73.47,5278.73,339.89,-6.03,31,18,77.42,-5503.21,4.98
166,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_166_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_166_signals.csv,100.0,43,43,4162.59,246.88,-8.65,43,58.14,2397.12,99.76,-7.85,29,14,58.62,-1765.47,0.8
167,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_167_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_167_signals.csv,100.0,69,69,10800.28,800.02,-13.62,69,60.87,6312.37,426.03,-8.37,49,20,67.35,-4487.91,5.25
168,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_168_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_168_signals.csv,100.0,54,54,6861.04,471.75,-8.75,54,61.11,3312.47,176.04,-10.64,39,15,58.97,-3548.57,-1.89
169,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_169_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_169_signals.csv,100.0,50,50,4423.66,268.64,-11.38,50,56.0,2451.7,104.31,-9.97,34,16,55.88,-1971.96,1.41
170,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_170_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_170_signals.csv,100.0,54,54,6655.39,454.62,-8.73,54,61.11,3797.83,216.49,-8.31,32,22,71.88,-2857.56,0.42
171,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_171_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_171_signals.csv,100.0,49,49,7927.93,560.66,-11.42,49,69.39,3221.02,168.42,-11.26,28,21,67.86,-4706.91,0.16
172,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_172_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_172_signals.csv,100.0,43,43,5190.16,332.51,-8.6,43,62.79,2532.82,111.07,-7.32,19,24,68.42,-2657.34,1.28
173,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_173_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_173_signals.csv,100.0,50,50,4076.83,239.74,-8.77,50,54.0,2008.88,67.41,-14.83,28,22,53.57,-2067.95,-6.06
174,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_174_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_174_signals.csv,100.0,45,45,6945.74,478.81,-11.64,45,68.89,3819.67,218.31,-5.84,31,14,70.97,-3126.07,5.8
175,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_175_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_175_signals.csv,100.0,56,56,8449.32,604.11,-13.89,56,64.29,5361.6,346.8,-11.89,47,9,65.96,-3087.72,2.0
176,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_176_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_176_signals.csv,100.0,30,30,2632.69,119.39,-18.83,30,56.67,2002.46,66.87,-5.12,17,13,70.59,-630.23,13.71
177,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_177_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_177_signals.csv,100.0,42,42,2552.69,112.72,-13.68,42,47.62,1930.37,60.86,-4.18,23,19,60.87,-622.32,9.5
178,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_178_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_178_signals.csv,100.0,44,44,5675.87,372.99,-8.68,44,63.64,3055.47,154.62,-5.79,27,17,70.37,-2620.4,2.89
179,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_179_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_179_signals.csv,100.0,36,36,3733.31,211.11,-13.26,36,58.33,2371.58,97.63,-5.58,25,11,60.0,-1361.73,7.68
180,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_180_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_180_signals.csv,100.0,26,26,2156.1,79.67,-5.69,26,53.85,1676.65,39.72,-3.43,19,7,57.89,-479.45,2.26
