low_mult,mid_mult,high_mult,score,median_final,min_final,mean_final,worst_dd_pct,loss_folds,total_active_trades,median_wr_pct
1.3,1.0,1.5,2854.22,3091.74,1516.38,3982.9,-29.69,0,2561,52.27
0.75,1.25,0.8,2823.0,3124.6,1566.65,3945.28,-37.7,0,2561,52.27
0.75,1.25,1.0,2823.0,3124.6,1566.65,3946.81,-37.7,0,2561,52.27
0.75,1.25,1.15,2823.0,3124.6,1566.65,3947.96,-37.7,0,2561,52.27
0.75,1.25,1.3,2823.0,3124.6,1566.65,3949.11,-37.7,0,2561,52.27
0.75,1.25,1.5,2823.0,3124.6,1566.65,3950.64,-37.7,0,2561,52.27
1.15,1.0,0.8,2816.47,3045.43,1511.44,3853.23,-28.62,0,2561,52.27
1.15,1.0,1.0,2816.47,3045.43,1511.44,3854.76,-28.62,0,2561,52.27
1.15,1.0,1.15,2816.47,3045.43,1511.44,3855.91,-28.62,0,2561,52.27
1.15,1.0,1.3,2816.47,3045.43,1511.44,3857.06,-28.62,0,2561,52.27
1.15,1.0,1.5,2816.47,3045.43,1511.44,3858.59,-28.62,0,2561,52.27
1.0,1.0,0.8,2793.46,3032.58,1506.5,3728.93,-29.89,0,2561,52.27
1.0,1.0,1.0,2793.46,3032.58,1506.5,3730.46,-29.89,0,2561,52.27
1.0,1.0,1.15,2793.46,3032.58,1506.5,3731.61,-29.89,0,2561,52.27
1.0,1.0,1.3,2793.46,3032.58,1506.5,3732.76,-29.89,0,2561,52.27
1.0,1.0,1.5,2793.46,3032.58,1506.5,3734.29,-29.89,0,2561,52.27
0.5,1.25,0.8,2695.56,3021.4,1435.95,3738.1,-40.73,0,2561,52.27
0.5,1.25,1.0,2695.56,3021.4,1435.95,3739.63,-40.73,0,2561,52.27
0.5,1.25,1.15,2695.56,3021.4,1435.95,3740.78,-40.73,0,2561,52.27
0.5,1.25,1.3,2695.56,3021.4,1435.95,3741.93,-40.73,0,2561,52.27
0.5,1.25,1.5,2695.56,3021.4,1435.95,3743.46,-40.73,0,2561,52.27
1.3,0.8,0.8,2674.56,2911.2,1461.67,3638.72,-29.58,0,2561,52.27
1.3,0.8,1.0,2674.56,2911.2,1461.67,3640.25,-29.58,0,2561,52.27
1.3,0.8,1.15,2674.56,2911.2,1461.67,3641.4,-29.58,0,2561,52.27
1.3,0.8,1.3,2674.56,2911.2,1461.67,3642.55,-29.58,0,2561,52.27
1.3,0.8,1.5,2674.56,2911.2,1461.67,3644.08,-29.58,0,2561,52.27
0.75,1.1,0.8,2654.56,2930.8,1525.62,3691.16,-34.53,0,2561,52.27
0.75,1.1,1.0,2654.56,2930.8,1525.62,3692.69,-34.53,0,2561,52.27
0.75,1.1,1.15,2654.56,2930.8,1525.62,3693.84,-34.53,0,2561,52.27
0.75,1.1,1.3,2654.56,2930.8,1525.62,3694.99,-34.53,0,2561,52.27
0.75,1.1,1.5,2654.56,2930.8,1525.62,3696.52,-34.53,0,2561,52.27
1.15,0.8,0.8,2573.06,2786.34,1456.73,3514.41,-26.66,0,2561,52.27
1.15,0.8,1.0,2573.06,2786.34,1456.73,3515.95,-26.66,0,2561,52.27
1.15,0.8,1.15,2573.06,2786.34,1456.73,3517.09,-26.66,0,2561,52.27
1.15,0.8,1.3,2573.06,2786.34,1456.73,3518.24,-26.66,0,2561,52.27
1.15,0.8,1.5,2573.06,2786.34,1456.73,3519.78,-26.66,0,2561,52.27
0.75,1.0,0.8,2553.68,2811.84,1498.26,3521.75,-32.27,0,2561,52.27
0.75,1.0,1.0,2553.68,2811.84,1498.26,3523.28,-32.27,0,2561,52.27
0.75,1.0,1.15,2553.68,2811.84,1498.26,3524.43,-32.27,0,2561,52.27
0.75,1.0,1.3,2553.68,2811.84,1498.26,3525.58,-32.27,0,2561,52.27
0.75,1.0,1.5,2553.68,2811.84,1498.26,3527.11,-32.27,0,2561,52.27
1.3,0.6,0.8,2548.35,2784.11,1406.84,3299.9,-29.47,0,2561,52.27
1.3,0.6,1.0,2548.35,2784.11,1406.84,3301.43,-29.47,0,2561,52.27
1.3,0.6,1.15,2548.35,2784.11,1406.84,3302.58,-29.47,0,2561,52.27
1.3,0.6,1.3,2548.35,2784.11,1406.84,3303.73,-29.47,0,2561,52.27
1.3,0.6,1.5,2548.35,2784.11,1406.84,3305.26,-29.47,0,2561,52.27
0.5,1.1,0.8,2528.24,2827.6,1444.49,3483.99,-37.42,0,2561,52.27
0.5,1.1,1.0,2528.24,2827.6,1444.49,3485.52,-37.42,0,2561,52.27
0.5,1.1,1.15,2528.24,2827.6,1444.49,3486.67,-37.42,0,2561,52.27
0.5,1.1,1.3,2528.24,2827.6,1444.49,3487.82,-37.42,0,2561,52.27
0.5,1.1,1.5,2528.24,2827.6,1444.49,3489.35,-37.42,0,2561,52.27
1.0,0.8,0.8,2485.1,2686.86,1451.79,3390.11,-25.22,0,2561,52.27
1.0,0.8,1.0,2485.1,2686.86,1451.79,3391.64,-25.22,0,2561,52.27
1.0,0.8,1.15,2485.1,2686.86,1451.79,3392.79,-25.22,0,2561,52.27
