time,open,high,low,close,tick_volume,spread_points,tick_volume_delta,volume_imbalance
2025-11-24 07:30:00+00:00,4064.304,4064.566,4058.276,4060.001,2302.0,0.0,0.0,0.6841017488076166
2025-11-24 08:00:00+00:00,4059.9,4066.244,4059.552,4063.082,8055.0,0.0,5753.0,0.47549312612070915
2025-11-24 08:30:00+00:00,4063.019,4067.034,4059.969,4063.401,6057.0,0.0,-1998.0,0.05406935598019234
2025-11-24 09:00:00+00:00,4063.377,4074.23,4063.081,4068.716,8471.0,0.0,2414.0,0.4788770293299844
2025-11-24 09:30:00+00:00,4068.678,4072.889,4065.542,4071.824,7537.0,0.0,-934.0,0.4282019872056753
2025-11-24 10:00:00+00:00,4071.862,4077.254,4068.411,4070.298,7196.0,0.0,-341.0,0.176863055524181
2025-11-24 10:30:00+00:00,4070.307,4071.193,4063.421,4064.029,6482.0,0.0,-714.0,0.8077714873905659
2025-11-24 11:00:00+00:00,4064.014,4070.659,4063.114,4070.445,4921.0,0.0,-1561.0,0.8523525513585126
2025-11-24 11:30:00+00:00,4070.469,4071.689,4067.048,4069.896,5440.0,0.0,519.0,0.12346477052356301
2025-11-24 12:00:00+00:00,4069.86,4074.292,4065.639,4070.82,6379.0,0.0,939.0,0.11094418120883617
2025-11-24 12:30:00+00:00,4070.761,4084.108,4070.559,4080.471,7181.0,0.0,802.0,0.716658055945092
2025-11-24 13:00:00+00:00,4080.508,4085.024,4075.802,4080.51,9763.0,0.0,2582.0,0.0002168726957717965
2025-11-24 13:30:00+00:00,4080.524,4086.043,4073.697,4077.696,9204.0,0.0,-559.0,0.2290620443868438
2025-11-24 14:00:00+00:00,4077.664,4083.121,4073.885,4075.72,8664.0,0.0,-540.0,0.21048072758774802
2025-11-24 14:30:00+00:00,4075.749,4086.089,4068.339,4081.24,18989.0,0.0,10325.0,0.3093521126760555
2025-11-24 15:00:00+00:00,4081.272,4093.905,4081.16,4088.137,15775.0,0.0,-3214.0,0.5386426049431189
2025-11-24 15:30:00+00:00,4088.112,4093.705,4087.065,4091.741,10084.0,0.0,-5691.0,0.5465361445783095
2025-11-24 16:00:00+00:00,4091.791,4095.635,4089.732,4092.372,8524.0,0.0,-1560.0,0.09842452989999184
2025-11-24 16:30:00+00:00,4092.344,4098.952,4091.985,4097.127,8108.0,0.0,-416.0,0.686522175972483
2025-11-24 17:00:00+00:00,4097.171,4099.898,4088.83,4093.368,7889.0,0.0,-219.0,0.34360318033974213
2025-11-24 17:30:00+00:00,4093.488,4100.408,4092.492,4092.9,6197.0,0.0,-1692.0,0.07427993936328015
2025-11-24 18:00:00+00:00,4092.931,4095.714,4088.005,4095.582,6955.0,0.0,758.0,0.3438837722142817
2025-11-24 18:30:00+00:00,4095.544,4125.741,4095.544,4120.456,13431.0,0.0,6476.0,0.8249826141669757
2025-11-24 19:00:00+00:00,4120.488,4124.176,4114.867,4119.065,8981.0,0.0,-4450.0,0.15286282092605585
2025-11-24 19:30:00+00:00,4119.051,4121.201,4113.913,4118.508,6251.0,0.0,-2730.0,0.07450603732169869
2025-11-24 20:00:00+00:00,4118.531,4125.71,4117.942,4124.886,6263.0,0.0,12.0,0.8180998970134461
2025-11-24 20:30:00+00:00,4124.888,4133.405,4124.692,4132.62,7091.0,0.0,828.0,0.8874096178124875
2025-11-24 21:00:00+00:00,4132.634,4133.702,4130.111,4132.299,2792.0,0.0,-4299.0,0.09328877749930488
2025-11-24 21:30:00+00:00,4132.309,4140.021,4131.168,4134.086,3275.0,0.0,483.0,0.20072291878459625
2025-11-24 23:00:00+00:00,4134.311,4138.539,4125.125,4131.068,10366.0,0.0,7091.0,0.24176233785593718
2025-11-24 23:30:00+00:00,4131.112,4144.405,4128.759,4143.81,8658.0,0.0,-1708.0,0.8115812348204358
2025-11-25 00:00:00+00:00,4143.802,4144.609,4133.99,4135.493,10849.0,0.0,2191.0,0.7824653922213787
2025-11-25 00:30:00+00:00,4135.54,4137.323,4127.612,4129.512,8534.0,0.0,-2315.0,0.6207393677273296
2025-11-25 01:00:00+00:00,4129.563,4136.119,4122.524,4127.405,15376.0,0.0,6842.0,0.15873482898127697
2025-11-25 01:30:00+00:00,4127.441,4139.246,4127.371,4134.809,12148.0,0.0,-3228.0,0.6204631578947699
2025-11-25 02:00:00+00:00,4134.754,4145.772,4132.707,4144.735,9852.0,0.0,-2296.0,0.763949483352474
2025-11-25 02:30:00+00:00,4144.703,4155.82,4143.902,4150.819,10542.0,0.0,690.0,0.5131733512334417
2025-11-25 03:00:00+00:00,4150.912,4151.083,4139.543,4145.227,9828.0,0.0,-714.0,0.4926343154246463
2025-11-25 03:30:00+00:00,4145.214,4145.724,4140.865,4143.052,6867.0,0.0,-2961.0,0.44494752006587646
2025-11-25 04:00:00+00:00,4143.026,4148.0,4139.453,4146.164,6137.0,0.0,-730.0,0.3671463671463762
2025-11-25 04:30:00+00:00,4146.186,4148.417,4140.313,4140.807,5189.0,0.0,-948.0,0.6637462981243493
2025-11-25 05:00:00+00:00,4140.845,4148.004,4140.845,4144.039,4897.0,0.0,-292.0,0.4461516971643611
2025-11-25 05:30:00+00:00,4144.006,4152.034,4141.43,4150.888,7470.0,0.0,2573.0,0.649000377216147
2025-11-25 06:00:00+00:00,4150.921,4152.125,4139.879,4140.873,8107.0,0.0,637.0,0.82051282051287
2025-11-25 06:30:00+00:00,4140.938,4143.68,4138.542,4141.605,9930.0,0.0,1823.0,0.12981704943547528
2025-11-25 07:00:00+00:00,4141.571,4146.085,4134.676,4136.801,6945.0,0.0,-2985.0,0.4180909808045993
2025-11-25 07:30:00+00:00,4136.863,4139.325,4130.277,4132.529,9681.0,0.0,2736.0,0.4790008841732914
2025-11-25 08:00:00+00:00,4132.614,4139.522,4131.467,4136.37,7953.0,0.0,-1728.0,0.4662942271881039
2025-11-25 08:30:00+00:00,4136.339,4136.671,4109.156,4116.115,12410.0,0.0,4457.0,0.7350172633109184
2025-11-25 09:00:00+00:00,4116.158,4130.602,4113.866,4124.761,9408.0,0.0,-3002.0,0.5140415869980957
2025-11-25 09:30:00+00:00,4124.731,4131.381,4121.821,4128.403,9149.0,0.0,-259.0,0.38410041841007597
2025-11-25 10:00:00+00:00,4128.421,4138.882,4127.461,4130.912,6802.0,0.0,-2347.0,0.21810699588478447
2025-11-25 10:30:00+00:00,4130.947,4134.745,4127.524,4131.192,6923.0,0.0,121.0,0.03392881872315554
2025-11-25 11:00:00+00:00,4131.274,4137.378,4127.737,4132.446,7023.0,0.0,100.0,0.1215641530961121
2025-11-25 11:30:00+00:00,4132.37,4134.203,4129.381,4133.459,5515.0,0.0,-1508.0,0.2258399004562247
2025-11-25 12:00:00+00:00,4133.502,4138.759,4132.619,4132.937,5848.0,0.0,333.0,0.09201954397401942
2025-11-25 12:30:00+00:00,4132.976,4136.998,4115.964,4129.871,15539.0,0.0,9691.0,0.147618142055701
2025-11-25 13:00:00+00:00,4129.906,4146.826,4129.392,4141.806,12125.0,0.0,-3414.0,0.6825742801422222
2025-11-25 13:30:00+00:00,4141.829,4150.868,4141.829,4147.707,11106.0,0.0,-1019.0,0.6502931740236947
2025-11-25 14:00:00+00:00,4147.681,4148.73,4133.395,4134.263,11458.0,0.0,352.0,0.8749918487121245
2025-11-25 14:30:00+00:00,4134.239,4137.764,4111.034,4125.254,25757.0,0.0,14299.0,0.3361391694724846
2025-11-25 15:00:00+00:00,4125.305,4133.846,4117.946,4127.963,15021.0,0.0,-10736.0,0.16716981132072375
2025-11-25 15:30:00+00:00,4128.01,4133.381,4120.773,4123.13,11081.0,0.0,-3940.0,0.3870558375634551
2025-11-25 16:00:00+00:00,4123.092,4141.444,4122.107,4140.544,10701.0,0.0,-380.0,0.9025184878729805
2025-11-25 16:30:00+00:00,4140.498,4141.171,4134.494,4136.278,7559.0,0.0,-3142.0,0.6320203684287813
2025-11-25 17:00:00+00:00,4136.279,4153.984,4135.947,4149.829,18525.0,0.0,10966.0,0.7512335754282351
2025-11-25 17:30:00+00:00,4149.789,4159.414,4144.204,4146.103,12361.0,0.0,-6164.0,0.24234056541746782
2025-11-25 18:00:00+00:00,4146.136,4150.996,4141.549,4142.336,10874.0,0.0,-1487.0,0.4022440986556722
2025-11-25 18:30:00+00:00,4142.368,4145.512,4132.539,4134.318,7811.0,0.0,-3063.0,0.6205195405843066
2025-11-25 19:00:00+00:00,4134.36,4140.371,4128.456,4129.97,9042.0,0.0,1231.0,0.3684431389004978
2025-11-25 19:30:00+00:00,4129.93,4134.055,4129.096,4133.761,7120.0,0.0,-1922.0,0.7725347852388703
2025-11-25 20:00:00+00:00,4133.797,4138.419,4132.126,4132.334,6771.0,0.0,-349.0,0.23248053392655585
