time,open,high,low,close,tick_volume,spread,real_volume
2021-12-13 07:15:00,1784.482,1786.125,1784.405,1785.674,672,200,0
2021-12-13 07:30:00,1785.652,1786.022,1785.314,1785.436,450,200,0
2021-12-13 07:45:00,1785.432,1785.916,1785.14,1785.908,442,200,0
2021-12-13 08:00:00,1785.924,1786.932,1785.432,1786.593,921,200,0
2021-12-13 08:15:00,1786.61,1786.833,1785.462,1786.451,698,200,0
2021-12-13 08:30:00,1786.481,1787.797,1786.481,1787.411,971,200,0
2021-12-13 08:45:00,1787.438,1787.612,1785.898,1786.626,702,200,0
2021-12-13 09:00:00,1786.627,1786.866,1785.848,1786.044,608,200,0
2021-12-13 09:15:00,1786.074,1786.201,1783.315,1783.536,648,200,0
2021-12-13 09:30:00,1783.517,1784.407,1783.466,1783.99,652,200,0
2021-12-13 09:45:00,1783.991,1785.449,1783.879,1785.375,525,200,0
2021-12-13 10:00:00,1785.344,1786.319,1784.85,1786.299,687,200,0
2021-12-13 10:15:00,1786.292,1786.502,1785.501,1785.938,569,200,0
2021-12-13 10:30:00,1785.944,1785.944,1784.373,1785.584,678,200,0
2021-12-13 10:45:00,1785.583,1787.174,1785.563,1786.974,658,200,0
2021-12-13 11:00:00,1787.005,1787.246,1786.252,1787.159,605,200,0
2021-12-13 11:15:00,1787.15,1788.018,1786.431,1787.738,664,200,0
2021-12-13 11:30:00,1787.737,1788.482,1787.551,1788.039,525,200,0
2021-12-13 11:45:00,1788.04,1788.311,1787.46,1788.146,592,200,0
2021-12-13 12:00:00,1788.177,1788.398,1787.426,1787.654,630,200,0
2021-12-13 12:15:00,1787.652,1789.952,1787.215,1789.525,749,200,0
2021-12-13 12:30:00,1789.556,1789.867,1788.763,1789.35,695,200,0
2021-12-13 12:45:00,1789.36,1791.581,1789.36,1790.034,1032,200,0
2021-12-13 13:00:00,1790.004,1790.131,1785.385,1785.611,1506,200,0
2021-12-13 13:15:00,1785.616,1785.94,1783.068,1783.101,1593,200,0
2021-12-13 13:30:00,1783.133,1784.863,1783.068,1783.874,1251,200,0
2021-12-13 13:45:00,1783.881,1784.241,1781.794,1782.739,1141,200,0
2021-12-13 14:00:00,1782.713,1784.967,1781.775,1784.705,1346,200,0
2021-12-13 14:15:00,1784.675,1787.448,1784.599,1786.431,1228,200,0
2021-12-13 14:30:00,1786.423,1786.58,1784.483,1785.119,1466,200,0
2021-12-13 14:45:00,1785.098,1789.424,1783.931,1789.424,1562,200,0
2021-12-13 15:00:00,1789.393,1789.434,1785.948,1787.355,1555,200,0
2021-12-13 15:15:00,1787.33,1788.129,1786.203,1787.662,1114,200,0
2021-12-13 15:30:00,1787.696,1788.046,1785.352,1787.309,1067,200,0
2021-12-13 15:45:00,1787.298,1787.594,1786.307,1786.837,926,200,0
2021-12-13 16:00:00,1786.855,1788.399,1786.1,1788.172,931,200,0
2021-12-13 16:15:00,1788.2,1789.179,1787.825,1788.169,966,200,0
2021-12-13 16:30:00,1788.171,1789.904,1787.941,1789.904,868,200,0
2021-12-13 16:45:00,1789.885,1790.098,1788.387,1788.532,797,200,0
2021-12-13 17:00:00,1788.563,1788.762,1787.952,1788.047,769,200,0
2021-12-13 17:15:00,1788.037,1788.168,1787.197,1787.513,629,200,0
2021-12-13 17:30:00,1787.483,1788.288,1787.243,1788.265,562,200,0
2021-12-13 17:45:00,1788.277,1788.324,1787.83,1788.283,562,200,0
2021-12-13 18:00:00,1788.294,1788.294,1787.628,1787.889,485,200,0
2021-12-13 18:15:00,1787.892,1788.765,1787.512,1787.659,597,200,0
2021-12-13 18:30:00,1787.645,1787.645,1786.309,1786.309,674,200,0
2021-12-13 18:45:00,1786.317,1787.44,1786.264,1787.395,503,200,0
2021-12-13 19:00:00,1787.369,1787.377,1786.598,1787.373,458,200,0
2021-12-13 19:15:00,1787.372,1787.63,1786.779,1787.614,481,200,0
2021-12-13 19:30:00,1787.608,1788.115,1787.511,1787.979,491,200,0
2021-12-13 19:45:00,1787.977,1788.067,1787.344,1787.749,601,200,0
2021-12-13 20:00:00,1787.717,1788.182,1787.589,1787.782,516,200,0
2021-12-13 20:15:00,1787.791,1788.049,1787.517,1787.898,484,200,0
2021-12-13 20:30:00,1787.903,1788.018,1787.347,1787.42,536,200,0
2021-12-13 20:45:00,1787.389,1787.633,1786.317,1787.202,850,200,0
2021-12-13 21:00:00,1787.234,1787.565,1786.791,1786.854,430,200,0
2021-12-13 21:15:00,1786.858,1786.905,1786.638,1786.664,240,200,0
2021-12-13 21:30:00,1786.678,1787.119,1786.457,1787.066,278,200,0
2021-12-13 21:45:00,1787.074,1787.266,1786.495,1786.653,285,200,0
2021-12-13 23:00:00,1786.227,1786.533,1785.957,1786.21,376,200,0
2021-12-13 23:15:00,1786.199,1787.003,1785.982,1786.902,336,200,0
2021-12-13 23:30:00,1786.893,1787.262,1786.098,1786.228,483,200,0
2021-12-13 23:45:00,1786.223,1786.532,1785.006,1785.754,689,200,0
2021-12-14 00:00:00,1785.757,1786.056,1785.063,1785.799,469,200,0
2021-12-14 00:15:00,1785.814,1785.967,1785.414,1785.913,322,200,0
2021-12-14 00:30:00,1785.889,1786.595,1785.594,1786.564,359,200,0
2021-12-14 00:45:00,1786.533,1788.008,1786.307,1787.889,620,200,0
2021-12-14 01:00:00,1787.884,1788.006,1786.615,1787.285,814,200,0
2021-12-14 01:15:00,1787.296,1788.819,1787.213,1787.658,708,200,0
2021-12-14 01:30:00,1787.642,1788.281,1787.335,1787.77,659,200,0
2021-12-14 01:45:00,1787.8,1788.63,1787.109,1788.335,602,200,0
2021-12-14 02:00:00,1788.304,1789.462,1788.28,1788.603,689,200,0
2021-12-14 02:15:00,1788.607,1788.628,1788.017,1788.397,434,200,0
2021-12-14 02:30:00,1788.421,1788.519,1786.864,1786.869,535,200,0
2021-12-14 02:45:00,1786.87,1787.064,1786.162,1787.031,509,200,0
2021-12-14 03:00:00,1786.998,1787.328,1785.86,1786.023,821,200,0
2021-12-14 03:15:00,1786.034,1786.616,1785.878,1786.261,506,200,0
2021-12-14 03:30:00,1786.268,1787.139,1786.078,1786.66,485,200,0
2021-12-14 03:45:00,1786.669,1786.919,1785.82,1785.82,357,200,0
2021-12-14 04:00:00,1785.793,1786.422,1785.69,1786.267,344,200,0
2021-12-14 04:15:00,1786.302,1786.355,1785.742,1785.806,298,200,0
2021-12-14 04:30:00,1785.812,1785.826,1785.333,1785.622,353,200,0
2021-12-14 04:45:00,1785.609,1786.019,1785.504,1785.932,333,200,0
2021-12-14 05:00:00,1785.898,1786.515,1785.551,1786.515,341,200,0
2021-12-14 05:15:00,1786.523,1786.975,1786.192,1786.524,590,200,0
2021-12-14 05:30:00,1786.493,1786.927,1785.924,1786.747,530,200,0
2021-12-14 05:45:00,1786.772,1787.423,1786.772,1787.255,442,200,0
2021-12-14 06:00:00,1787.25,1788.22,1787.036,1787.818,548,200,0
2021-12-14 06:15:00,1787.786,1788.275,1787.144,1787.202,541,200,0
2021-12-14 06:30:00,1787.208,1787.804,1787.192,1787.213,395,200,0
2021-12-14 06:45:00,1787.205,1788.379,1787.17,1787.87,489,200,0
2021-12-14 07:00:00,1787.839,1788.099,1787.196,1787.708,641,200,0
2021-12-14 07:15:00,1787.691,1788.335,1787.292,1787.515,568,200,0
2021-12-14 07:30:00,1787.505,1787.537,1785.245,1785.341,692,200,0
2021-12-14 07:45:00,1785.343,1785.763,1784.082,1784.501,945,200,0
2021-12-14 08:00:00,1784.471,1784.471,1782.755,1783.672,1149,200,0
2021-12-14 08:15:00,1783.652,1784.361,1781.97,1782.79,912,200,0
2021-12-14 08:30:00,1782.798,1784.81,1782.186,1784.671,763,200,0
2021-12-14 08:45:00,1784.683,1785.097,1783.726,1784.783,662,200,0
2021-12-14 09:00:00,1784.781,1785.6,1783.848,1784.102,770,200,0
2021-12-14 09:15:00,1784.117,1784.185,1783.202,1783.819,532,200,0
2021-12-14 09:30:00,1783.788,1783.856,1782.932,1782.959,568,200,0
2021-12-14 09:45:00,1782.95,1784.618,1782.696,1783.735,819,200,0
2021-12-14 10:00:00,1783.75,1784.646,1783.626,1784.413,694,200,0
2021-12-14 10:15:00,1784.418,1785.026,1783.379,1783.41,634,200,0
2021-12-14 10:30:00,1783.437,1783.88,1782.456,1783.744,770,200,0
2021-12-14 10:45:00,1783.761,1785.671,1783.758,1784.797,788,200,0
2021-12-14 11:00:00,1784.759,1785.172,1784.083,1784.661,589,200,0
2021-12-14 11:15:00,1784.629,1785.003,1784.342,1784.569,537,200,0
2021-12-14 11:30:00,1784.604,1785.072,1784.274,1784.896,534,200,0
2021-12-14 11:45:00,1784.913,1785.04,1784.039,1784.765,629,200,0
2021-12-14 12:00:00,1784.751,1785.033,1783.732,1784.274,636,200,0
2021-12-14 12:15:00,1784.244,1784.267,1783.819,1784.079,516,200,0
2021-12-14 12:30:00,1784.076,1784.773,1783.689,1784.388,619,200,0
2021-12-14 12:45:00,1784.394,1784.524,1783.019,1784.445,733,200,0
2021-12-14 13:00:00,1784.477,1785.525,1783.171,1783.795,1085,200,0
2021-12-14 13:15:00,1783.77,1783.77,1778.917,1779.434,1818,200,0
2021-12-14 13:30:00,1779.465,1781.294,1773.332,1774.693,3592,200,0
2021-12-14 13:45:00,1774.725,1775.053,1771.41,1771.927,2643,200,0
2021-12-14 14:00:00,1771.958,1772.02,1766.779,1767.399,3098,200,0
2021-12-14 14:15:00,1767.365,1769.48,1766.419,1769.42,1773,200,0
2021-12-14 14:30:00,1769.388,1771.9,1767.794,1771.549,2314,200,0
2021-12-14 14:45:00,1771.582,1778.111,1770.451,1776.132,3366,200,0
2021-12-14 15:00:00,1776.1,1776.555,1773.155,1773.46,2127,200,0
2021-12-14 15:15:00,1773.449,1773.779,1771.45,1771.645,1435,200,0
2021-12-14 15:30:00,1771.615,1773.583,1771.26,1772.004,1300,200,0
2021-12-14 15:45:00,1771.992,1775.013,1771.223,1774.071,1411,200,0
2021-12-14 16:00:00,1774.103,1776.499,1774.07,1775.076,1346,200,0
2021-12-14 16:15:00,1775.088,1775.349,1772.665,1773.084,1066,200,0
2021-12-14 16:30:00,1773.096,1773.225,1772.26,1772.26,807,200,0
2021-12-14 16:45:00,1772.25,1773.462,1771.944,1773.462,805,200,0
