time,open,high,low,close,tick_volume,spread_points,tick_volume_delta,volume_imbalance
2021-12-27 21:30:00+00:00,1811.64,1811.729,1811.414,1811.726,146,0.0,0.0,0.27301587301586616
2021-12-27 21:45:00+00:00,1811.719,1812.165,1811.606,1811.839,221,0.0,75.0,0.21466905187817084
2021-12-27 23:00:00+00:00,1811.469,1811.994,1811.442,1811.939,262,0.0,41.0,0.8514492753625114
2021-12-27 23:15:00+00:00,1811.946,1812.247,1811.847,1811.849,239,0.0,-23.0,0.24249999999989483
2021-12-27 23:30:00+00:00,1811.853,1812.374,1811.8,1811.962,238,0.0,-1.0,0.1898954703831193
2021-12-27 23:45:00+00:00,1811.964,1812.505,1811.854,1812.505,247,0.0,9.0,0.8310291858680667
2021-12-28 00:00:00+00:00,1812.507,1812.624,1811.579,1811.869,362,0.0,115.0,0.6105263157895722
2021-12-28 00:15:00+00:00,1811.867,1811.953,1811.206,1811.318,451,0.0,89.0,0.7349397590360456
2021-12-28 00:30:00+00:00,1811.314,1811.373,1810.792,1810.815,265,0.0,-186.0,0.8588640275385734
2021-12-28 00:45:00+00:00,1810.811,1811.506,1810.784,1811.429,359,0.0,94.0,0.8559556786706131
2021-12-28 01:00:00+00:00,1811.396,1811.589,1810.097,1810.172,705,0.0,346.0,0.8203753351206193
2021-12-28 01:15:00+00:00,1810.164,1810.373,1809.663,1810.008,592,0.0,-113.0,0.21971830985907193
2021-12-28 01:30:00+00:00,1809.994,1810.361,1809.539,1810.285,542,0.0,-50.0,0.35401459854029943
2021-12-28 01:45:00+00:00,1810.286,1810.931,1810.117,1810.128,553,0.0,11.0,0.1941031941033341
2021-12-28 02:00:00+00:00,1810.131,1810.28,1809.09,1809.157,509,0.0,-44.0,0.8184873949580802
2021-12-28 02:15:00+00:00,1809.158,1809.493,1808.815,1808.96,309,0.0,-200.0,0.2920353982299401
2021-12-28 02:30:00+00:00,1808.955,1809.426,1808.478,1809.095,467,0.0,158.0,0.14767932489464128
2021-12-28 02:45:00+00:00,1809.092,1809.441,1808.653,1809.062,434,0.0,-33.0,0.038071065990101106
2021-12-28 03:00:00+00:00,1809.059,1809.546,1808.963,1809.279,364,0.0,-70.0,0.3773584905660304
2021-12-28 03:15:00+00:00,1809.245,1809.537,1808.953,1809.509,382,0.0,18.0,0.4520547945207133
2021-12-28 03:30:00+00:00,1809.525,1810.396,1809.525,1810.277,255,0.0,-127.0,0.863375430539687
2021-12-28 03:45:00+00:00,1810.274,1810.274,1809.79,1809.79,245,0.0,-10.0,1.0
2021-12-28 04:00:00+00:00,1809.799,1809.912,1809.535,1809.834,242,0.0,-3.0,0.09283819628670091
2021-12-28 04:15:00+00:00,1809.809,1810.201,1809.681,1810.092,209,0.0,-33.0,0.5442307692310366
2021-12-28 04:30:00+00:00,1810.091,1810.609,1809.934,1810.479,155,0.0,-54.0,0.5748148148150718
2021-12-28 04:45:00+00:00,1810.486,1810.545,1809.658,1810.013,237,0.0,82.0,0.5332581736190446
2021-12-28 05:00:00+00:00,1810.014,1811.052,1810.014,1810.954,263,0.0,26.0,0.905587668593492
2021-12-28 05:15:00+00:00,1810.985,1811.442,1810.819,1811.139,400,0.0,137.0,0.24719101123593046
2021-12-28 05:30:00+00:00,1811.119,1812.728,1811.091,1812.699,626,0.0,226.0,0.9651802076970003
2021-12-28 05:45:00+00:00,1812.706,1813.507,1812.568,1812.82,655,0.0,29.0,0.1214057507987468
2021-12-28 06:00:00+00:00,1812.823,1813.397,1812.5,1812.757,612,0.0,-43.0,0.0735785953177656
2021-12-28 06:15:00+00:00,1812.756,1813.431,1812.545,1813.19,463,0.0,-149.0,0.48984198645596516
2021-12-28 06:30:00+00:00,1813.187,1815.274,1813.187,1815.173,788,0.0,325.0,0.9516051748922444
2021-12-28 06:45:00+00:00,1815.183,1815.465,1814.402,1815.379,727,0.0,-61.0,0.18438381937905535
2021-12-28 07:00:00+00:00,1815.35,1816.015,1814.654,1815.118,794,0.0,67.0,0.170462894930164
2021-12-28 07:15:00+00:00,1815.146,1815.652,1814.804,1815.439,506,0.0,-288.0,0.34551886792468767
2021-12-28 07:30:00+00:00,1815.447,1815.557,1813.444,1813.93,632,0.0,126.0,0.7179365830571628
2021-12-28 07:45:00+00:00,1813.934,1814.371,1813.512,1813.732,558,0.0,-74.0,0.23515715948773303
2021-12-28 08:00:00+00:00,1813.764,1814.993,1813.753,1814.992,572,0.0,14.0,0.9903225806452068
