fold,test_start,test_end,signals,deposit,risk_pct,max_positions,max_daily_loss_pct,max_risk_pct,max_exposure_pct,max_dd_kill_pct,max_peak_dd_kill_pct,target_balance_stop,min_entry_drift_r,max_entry_drift_r,trailing_enabled,breakeven_rr,trail_activation_rr,trail_atr_multiple,max_hold_bars,model,final_balance,net_pct,max_dd_pct,trades,tp_hits,sl_hits,win_rate_pct,loaded_signals,report,log,tester_log,report_fold,note
168,2025-02-13 07:00:00,2025-03-15 07:00:00,61,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,3877.25,223.1,0,108,33,21,61.1,61,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_210956.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_168.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_168_tester.log,168,
169,2025-03-15 07:00:00,2025-04-14 07:00:00,53,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2886.54,140.54,0,100,28,22,56.0,53,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211016.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_169.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_169_tester.log,169,
170,2025-04-14 07:00:00,2025-05-14 07:00:00,56,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,3669.5,205.79,0,108,33,21,61.1,56,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211035.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_170.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_170_tester.log,170,
171,2025-05-14 07:00:00,2025-06-13 07:00:00,51,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,4212.43,251.04,0,98,34,15,69.4,51,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211055.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_171.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_171_tester.log,171,
172,2025-06-13 07:00:00,2025-07-13 07:00:00,45,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,3208.94,167.41,0,86,27,16,62.8,45,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211114.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_172.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_172_tester.log,172,
173,2025-07-13 07:00:00,2025-08-12 07:00:00,56,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2650.93,120.91,0,100,27,23,54.0,56,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211134.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_173.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_173_tester.log,173,
174,2025-08-12 07:00:00,2025-09-11 07:00:00,48,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,3860.37,221.7,0,90,31,14,68.9,48,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211153.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_174.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_174_tester.log,174,
175,2025-09-11 07:00:00,2025-10-11 07:00:00,59,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,4401.94,266.83,0,112,36,20,64.3,59,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211213.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_175.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_175_tester.log,175,
176,2025-10-11 07:00:00,2025-11-10 07:00:00,36,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2065.65,72.14,0,60,17,13,56.7,36,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211232.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_176.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_176_tester.log,176,
177,2025-11-10 07:00:00,2025-12-10 07:00:00,46,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1934.97,61.25,0,84,20,22,47.6,46,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211252.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_177.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_177_tester.log,177,
178,2025-12-10 07:00:00,2026-01-09 07:00:00,47,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,3360.43,180.04,0,88,28,16,63.6,47,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211311.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_178.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_178_tester.log,178,
179,2026-01-09 07:00:00,2026-02-08 07:00:00,41,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2498.3,108.19,0,72,21,15,58.3,41,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211331.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_179.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_179_tester.log,179,
180,2026-02-08 07:00:00,2026-03-10 07:00:00,30,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1815.25,51.27,0,52,14,12,53.8,30,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_211350.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_180.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_180_tester.log,180,
1,2026-03-10 07:00:00,2026-04-09 07:00:00,120,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1246.71,3.89,0,186,27,66,29.0,120,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_215203.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\mt5_1200_fixed_ea_rewf_20260523\extend_to_may_2026\signals_same_recipe\best_mt5\logs\fold_01.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\mt5_1200_fixed_ea_rewf_20260523\extend_to_may_2026\signals_same_recipe\best_mt5\tester_logs\fold_01_tester.log,181,Mar 10-Apr 09 2026
2,2026-04-09 07:00:00,2026-05-09 07:00:00,68,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1512.84,26.07,0,118,21,38,35.6,68,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_215223.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\mt5_1200_fixed_ea_rewf_20260523\extend_to_may_2026\signals_same_recipe\best_mt5\logs\fold_02.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\mt5_1200_fixed_ea_rewf_20260523\extend_to_may_2026\signals_same_recipe\best_mt5\tester_logs\fold_02_tester.log,182,Apr 09-May 09 2026
3,2026-05-09 07:00:00,2026-05-23 00:00:00,65,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1285.09,7.09,0,100,16,34,32.0,65,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_215242.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\mt5_1200_fixed_ea_rewf_20260523\extend_to_may_2026\signals_same_recipe\best_mt5\logs\fold_03.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\mt5_1200_fixed_ea_rewf_20260523\extend_to_may_2026\signals_same_recipe\best_mt5\tester_logs\fold_03_tester.log,183,May 09-May 23 2026 partial
